Date,Indicator,Category,Unit,Value
2007-06-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1590.130000
2007-07-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,8.308292
2007-07-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.411565
2007-07-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,6.570000
2007-07-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1652.869773
2007-07-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1661.500000
2007-08-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,8.961766
2007-08-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.675384
2007-08-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,6.290000
2007-08-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1737.430435
2007-08-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1785.415000
2007-09-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,8.998000
2007-09-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,18.978738
2007-09-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,6.090000
2007-09-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1762.830250
2007-09-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1752.090000
2007-10-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.030000
2007-10-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.859366
2007-10-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,5.760000
2007-10-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1747.171667
2007-10-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1735.450000
2007-11-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.790000
2007-11-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,18.288255
2007-11-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,5.800000
2007-11-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1707.728750
2007-11-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1738.685000
2007-12-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.083855
2007-12-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,18.204864
2007-12-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,7.910000
2007-12-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1711.613333
2007-12-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1697.340000
2008-01-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,11.000000
2008-01-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.400000
2008-01-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,10.450000
2008-01-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1710.585682
2008-01-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1726.045000
2008-02-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,11.080000
2008-02-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.480000
2008-02-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,7.800000
2008-02-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1707.829762
2008-02-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1692.180000
2008-03-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,9.981000
2008-03-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,20.084000
2008-03-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,10.350000
2008-03-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1684.255526
2008-03-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1693.515000
2008-04-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,11.030000
2008-04-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,21.219000
2008-04-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,10.340000
2008-04-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1686.683409
2008-04-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1681.845000
2008-05-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,11.541000
2008-05-01,Commercial Bank Lending Rate (Shillings),Lending Rate,Percent per Annum,19.920000
2008-05-01,Interbank Rate (Overall),Interbank Rate,Percent per Annum,7.670000
2008-05-01,UGX per USD (Period Average),Exchange Rate,UGX per USD,1647.680714
2008-05-01,UGX per USD (Period End),Exchange Rate,UGX per USD,1628.240000
2008-06-01,Commercial Bank Deposit Rate (Shillings),Deposit Rate,Percent per Annum,10.852000
